,Unnamed: 0,artículo,sujeto,adjetivo masculino,adjetivo femenino,acciones,Retos
0,370,La,llave,naciente,naciente,nace,"Este reto es un alivio, te permite la elipsis de 1 palabra que te haya salido como obligatoria para tu texto. Elige sabiamente"
1,519,El,polizón,sensato,sensata,se molesta,Qué paradójico sería que tu texto no tuviese una paradoja
2,297,La,hormiga,juvenil,juvenil,injuria a alguien,Era como… la descripción que has hecho. Ex-ac-ta-men-te
3,389,La,manta,notorio,notoria,obtiene,"No es dislexia, es un sinécdoque, ¡que no te enteras!"
4,95,La,casa solariega,criminal,criminal,contagia,Don Quijote estaría orgulloso de tu aporte al noble arte de las historias de caballería
5,237,La,gabardina,glacial,glacial,gotea,"Seguro que, gracias a tu emotiva oda, el protagonista de tu historia será recordado eternamente"
6,311,El,impermeable,liberal,liberal,jadea,"Este aire suena como una sinestesia, ¿no os parece?"""
7,528,La,promesa,silencioso,silenciosa,se queja,"Tiene que parecer un ensayo, no serlo, porque de esto sé que no tienes ni idea"
8,339,El,judo,malicioso,maliciosa,llega,"¿Cuántas líneas tiene ese papel? Bueno, pues como mucho, puedes llenar 30 líneas"
9,77,La,brújula,coherente,coherente,cercena,"Alíviate o no te alivies, altérate o no te alteres, pero haz que tu texto sea aliterado"
10,699,El,whisky,pechugón,pechugona,estudia,
11,324,La,inyección,lluvioso,lluviosa,late,
12,617,El,sueño,envenenado,envenenada,ve algo insólito,
13,665,El,utensilio,amarillo,amarilla,busca un final feliz,
14,396,El,marinero,numeroso,numerosa,oficia,
15,233,El,fruto seco,geológico,geológica,golpea,
16,64,El,bocadillo,caprichoso,caprichosa,bucea,
17,656,El,tulipán,añejo,añeja,se despierta en otra época,
18,502,La,piedra,roto,rota,se hiere,
19,667,La,vaca,rojo,roja,se hace derogar,
